100 100 51
1 4 90 838 
1 4 90 838 
1 4 90 838 
1 4 90 838 
1 4 90 838 
2 22 21 521 
2 22 21 521 
3 22 80 4735 
3 22 80 4735 
3 22 80 4735 
4 1 88 181 
4 1 88 181 
4 1 88 181 
4 1 88 181 
4 1 88 181 
5 6 40 706 
5 6 40 706 
5 6 40 706 
5 6 40 706 
5 6 40 706 
6 100 9 2538 
6 100 9 2538 
6 100 9 2538 
6 100 9 2538 
6 100 9 2538 
7 46 14 1349 
7 46 14 1349 
7 46 14 1349 
8 10 96 1685 
9 70 27 5336 
9 70 27 5336 
9 70 27 5336 
10 57 18 1775 
11 10 84 1131 
12 100 1 129 
12 100 1 129 
12 100 1 129 
12 100 1 129 
12 100 1 129 
13 2 41 179 
13 2 41 179 
13 2 41 179 
13 2 41 179 
13 2 41 179 
14 36 63 6668 
14 36 63 6668 
15 51 24 3551 
15 51 24 3551 
15 51 24 3551 
15 51 24 3551 
15 51 24 3551 
