50	40	44
1	19	10	191
1	19	10	191
2	14	22	338
2	14	22	338
2	14	22	338
3	42	2	156
3	42	2	156
3	42	2	156
4	6	33	555
4	6	33	555
4	6	33	555
5	17	1	31
6	24	15	623
6	24	15	623
6	24	15	623
7	31	7	331
8	37	9	855
8	37	9	855
9	33	10	972
9	33	10	972
10	40	10	916
10	40	10	916
11	49	5	528
11	49	5	528
12	16	18	454
12	16	18	454
13	32	4	171
13	32	4	171
14	19	6	177
14	19	6	177
14	19	6	177
15	10	11	210
15	10	11	210
16	25	11	376
16	25	11	376
17	32	2	108
17	32	2	108
17	32	2	108
18	46	1	99
18	46	1	99
18	46	1	99
19	42	2	182
19	42	2	182
20	39	6	248
