50	30	43
1	17	9	211
1	17	9	211
2	49	7	348
2	49	7	348
2	49	7	348
3	29	7	453
4	12	30	663
4	12	30	663
5	43	9	447
5	43	9	447
6	37	4	324
7	42	5	552
7	42	5	552
8	5	30	196
8	5	30	196
9	47	6	303
9	47	6	303
10	37	5	530
10	37	5	530
11	11	21	600
11	11	21	600
11	11	21	600
12	46	3	226
12	46	3	226
12	46	3	226
13	9	29	296
13	9	29	296
14	37	1	68
14	37	1	68
15	32	7	587
15	32	7	587
15	32	7	587
16	28	4	272
16	28	4	272
17	29	9	639
17	29	9	639
18	35	6	263
18	35	6	263
18	35	6	263
19	31	1	35
20	1	30	77
20	1	30	77
20	1	30	77
