50	40	42
1	47	5	593
1	47	5	593
1	47	5	593
2	14	25	815
2	14	25	815
2	14	25	815
3	18	12	223
3	18	12	223
3	18	12	223
4	32	6	493
4	32	6	493
5	27	14	534
5	27	14	534
5	27	14	534
6	35	9	488
7	2	40	88
8	5	19	215
9	2	40	83
10	50	5	607
10	50	5	607
10	50	5	607
11	34	11	646
11	34	11	646
11	34	11	646
12	6	40	517
12	6	40	517
12	6	40	517
12	37	4	332
12	37	4	332
12	37	4	332
13	50	1	103
13	50	1	103
14	4	40	310
15	12	24	305
15	12	24	305
16	4	26	115
17	31	11	506
17	31	11	506
18	47	2	140
19	37	7	559
19	37	7	559
19	37	7	559
