50	40	43
1	41	9	536
1	41	9	536
1	41	9	536
2	48	6	546
2	48	6	546
2	48	6	546
3	30	2	85
3	30	2	85
4	35	9	322
5	40	9	1014
5	40	9	1014
5	40	9	1014
6	19	13	697
6	19	13	697
7	31	12	698
7	31	12	698
7	31	12	698
8	49	1	72
9	33	3	131
9	33	3	131
10	8	25	546
10	8	25	546
10	8	25	546
11	9	6	156
11	9	6	156
12	16	13	358
12	16	13	358
12	16	13	358
13	35	1	57
13	35	1	57
13	35	1	57
14	44	7	582
14	44	7	582
15	18	4	111
16	47	4	263
17	48	2	191
17	48	2	191
17	48	2	191
18	37	7	318
19	32	2	102
20	44	4	430
20	44	4	430
20	44	4	430
