50	40	40
1	42	1	86
2	46	4	480
3	9	3	69
3	9	3	69
3	9	3	69
4	47	4	317
4	47	4	317
4	47	4	317
5	14	8	288
5	14	8	288
6	18	21	686
6	18	21	686
7	30	10	838
7	30	10	838
7	30	10	838
8	30	5	396
8	30	5	396
9	4	35	397
9	4	35	397
9	4	35	397
10	45	2	217
10	45	2	217
11	5	23	290
12	14	12	350
12	14	12	350
12	14	12	350
13	50	7	967
13	50	7	967
14	28	5	237
14	28	5	237
15	4	19	137
16	9	12	213
16	9	12	213
17	28	10	458
17	28	10	458
18	20	17	568
18	20	17	568
19	34	8	582
20	17	16	522
20	17	16	522
